1                                        # 1 decay channel
1.0             411 -211             # D(0)*(2300)0 -> D+ pi-

10423                                    # D(1)(2420)0 (PDG2025 updated)
2                                        # 2 decay channels
0.5             413 -211             # D(1)(2420)0 -> D*(2010)+ pi-
0.5             421 211 -211         # D(1)(2420)0 -> D0 pi+ pi-

425                                      # D(2)*(2460)0 (from PDG2020)
2                                        # 2 decay channels
0.5             411 -211             # D(2)*(2460)0 -> D+ + pi-
0.5             413 -211             # D(2)*(2460)0 -> D*(2010)+ + pi-

415                                      # D(2)*(2460)+ (from PDG2020)
2                                        # 2 decay channels
0.5             421 211              # D(2)*(2460)+ -> D0 + pi+
0.5             423 211              # D(2)*(2460)+ -> D*(2007)0 + pi+

431                                      # D(s) (PDG2025 updated)
45                                       # 45 decay channels
0.1267          321 -313             # Ds+ -> K+ Kbar*(892)0 (PDG 12.67%)
0.089           221 213              # Ds+ -> eta rho+ (PDG 8.90%, dominates eta pi+pi0)
0.058           331 213              # Ds+ -> eta' rho+ (PDG 5.80%, dominates eta' pi+pi0)
0.0553          321 -321 211 111     # Ds+ -> K+K- pi+ pi0 (PDG 5.53%, incl. phi rho+)
0.0545          321 -321 211         # Ds+ -> K+K- pi+ (PDG 5.45%, incl. phi pi+)
0.0539          -15 16               # Ds+ -> tau+ nu_tau (PDG 5.39%)
0.049           211 211 211 -211 -211 111 # Ds+ -> 3pi+ 2pi- pi0 (PDG 4.90%)
0.0395          331 211              # Ds+ -> eta' pi+ (PDG 3.95%)
0.0314          -311 -321 211 211    # Ds+ -> Kbar0 K- 2pi+ (PDG 2x1.57%)
0.0308          211 211 -211 221     # Ds+ -> 2pi+ pi- eta (PDG 3.08%) [NEW]
0.0295          321 -311             # Ds+ -> K+ Kbar0 (PDG 2.95%)
0.0294          321 -311 111         # Ds+ -> K+ Kbar0 pi0 (PDG 2x1.47%)
0.0278          223 211 111          # Ds+ -> omega pi+ pi0 (PDG 2.78%)
0.0234          333 -11 12           # Ds+ -> phi e+ nu_e (PDG 2.34%)
0.0227          221 -11 12           # Ds+ -> eta e+ nu_e (PDG 2.27%)
0.0224          221 -13 14           # Ds+ -> eta mu+ nu_mu (PDG 2.24%)
0.0224          333 -13 14           # Ds+ -> phi mu+ nu_mu (PDG 2.24%)
0.0187          321 -311 211 -211    # Ds+ -> K+ Kbar0 pi+pi- (PDG 2x0.93%)
0.0158          223 211 211 -211     # Ds+ -> omega 2pi+ pi- (PDG 1.58%)
0.0146          311 -311 211         # Ds+ -> K0 Kbar0 pi+ (PDG 2x0.73%)
0.0121          333 211 211 -211     # Ds+ -> phi 2pi+ pi- (PDG 1.21%)
0.0109          211 211 -211         # Ds+ -> 2pi+ pi- (PDG 1.09%)
0.0102          311 211 111          # Ds+ -> K0 pi+ pi0 (PDG 2x0.51%)
0.0097          321 211 -211 111     # Ds+ -> K+ pi+pi- pi0 (PDG 0.97%)
0.0082          321 223 111          # Ds+ -> K+ omega pi0 (PDG 0.82%)
0.0081          331 -11 12           # Ds+ -> eta' e+ nu_e (PDG 0.81%)
0.008           331 -13 14           # Ds+ -> eta' mu+ nu_mu (PDG 0.80%)
0.008           211 211 211 -211 -211 # Ds+ -> 3pi+ 2pi- (PDG 0.80%)
0.0079          321 223 221          # Ds+ -> K+ omega eta (PDG 0.79%)
0.0066          321 -321 211 211 -211 # Ds+ -> K+K- 2pi+ pi- (PDG 0.66%)
0.0062          321 211 -211         # Ds+ -> K+ pi+pi- (PDG 0.62%)
